epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.155,1.98651,5.61749,1.84373,0,0,0,0,1.34118,5.03676,1.27844,3.5e-05,3.5e-05,3.5e-05
2,38.1248,1.57473,5.31757,1.45556,0,0,0,0,1.42357,4.79747,1.18271,7.05446e-05,7.05446e-05,7.05446e-05
3,50.8247,1.50504,4.98058,1.30261,0.044,0.0651,0.05732,0.03221,1.46739,4.58811,1.18039,0.000105371,0.000105371,0.000105371
4,63.6926,1.4658,4.59795,1.25289,0.05138,0.10488,0.07013,0.04349,1.50576,4.50586,1.28309,0.000121288,0.000121288,0.000121288
5,75.7401,1.46666,4.29268,1.24546,0.06433,0.26993,0.129,0.08337,1.4944,4.17403,1.2702,0.00012005,0.00012005,0.00012005
6,87.1283,1.46363,3.80809,1.24493,0.6879,0.16893,0.15363,0.08787,1.57769,3.31794,1.29706,0.000118813,0.000118813,0.000118813
7,97.468,1.45484,3.49528,1.25418,0.7447,0.20715,0.2086,0.1291,1.5566,3.26198,1.32057,0.000117575,0.000117575,0.000117575
8,107.287,1.46242,3.10461,1.269,0.73624,0.28572,0.29539,0.16644,1.62828,2.65208,1.4364,0.000116338,0.000116338,0.000116338
9,115.917,1.42886,2.90952,1.25976,0.73181,0.35086,0.33529,0.21775,1.55924,2.40562,1.45163,0.0001151,0.0001151,0.0001151
10,123.724,1.43765,2.71987,1.27088,0.76014,0.35242,0.35652,0.20567,1.59575,2.25885,1.38891,0.000113863,0.000113863,0.000113863
11,130.763,1.40435,2.48414,1.24601,0.72785,0.27181,0.33227,0.1976,1.52685,2.19447,1.42867,0.000112625,0.000112625,0.000112625
12,24.2336,1.42556,2.40195,1.26304,0.79049,0.27793,0.35653,0.21761,1.58446,2.18795,1.44198,0.000111388,0.000111388,0.000111388
13,36.5859,1.41237,2.28242,1.25453,0.68788,0.34749,0.4133,0.25139,1.5665,2.06597,1.4538,0.00011015,0.00011015,0.00011015
14,49.0807,1.38868,2.13717,1.2635,0.72982,0.38363,0.44154,0.27683,1.53511,2.07003,1.4343,0.000108912,0.000108912,0.000108912
15,61.2209,1.35735,1.98042,1.24318,0.63989,0.39264,0.50434,0.32267,1.58015,2.02022,1.43647,0.000107675,0.000107675,0.000107675
16,73.1455,1.36804,1.96493,1.23773,0.68713,0.46733,0.48678,0.32358,1.53317,1.87673,1.42595,0.000106438,0.000106438,0.000106438
17,84.7784,1.37092,1.81618,1.24936,0.62711,0.45303,0.48723,0.31492,1.53705,1.88278,1.41572,0.0001052,0.0001052,0.0001052
18,96.2472,1.34021,1.75705,1.24437,0.71592,0.41004,0.53324,0.33622,1.57673,1.92525,1.48144,0.000103962,0.000103962,0.000103962
19,107.473,1.33752,1.67153,1.23361,0.61404,0.45429,0.58837,0.37593,1.61053,1.90401,1.50028,0.000102725,0.000102725,0.000102725
20,118.678,1.3114,1.62198,1.21803,0.67472,0.46983,0.5242,0.33326,1.56419,1.81662,1.4686,0.000101488,0.000101488,0.000101488
21,128.879,1.30797,1.57324,1.22387,0.69095,0.52296,0.56482,0.35854,1.57765,1.81826,1.43584,0.00010025,0.00010025,0.00010025
22,138.952,1.27389,1.53106,1.20052,0.64889,0.52329,0.56409,0.3636,1.54126,1.94281,1.45007,9.90125e-05,9.90125e-05,9.90125e-05
23,149.878,1.35183,1.54566,1.23961,0.60041,0.6074,0.62097,0.3821,1.58598,1.78123,1.44711,9.7775e-05,9.7775e-05,9.7775e-05
24,22.5646,1.31856,1.50661,1.22795,0.66969,0.55446,0.64929,0.41433,1.59603,1.71065,1.4528,9.65375e-05,9.65375e-05,9.65375e-05
