epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6124,2.06492,5.29381,2.08393,0.73919,0.07451,0.0546,0.01929,2.02631,3.98486,1.80789,2.4569e-05,2.4569e-05,2.4569e-05
2,30.5689,1.68906,3.69064,1.64811,0.90411,0.17186,0.24957,0.11218,2.3684,2.42838,1.97219,4.95569e-05,4.95569e-05,4.95569e-05
3,43.2653,1.65169,2.61823,1.5633,0.78284,0.30209,0.32661,0.11419,2.59841,2.22698,2.03658,7.44961e-05,7.44961e-05,7.44961e-05
4,55.3893,1.61379,2.10974,1.50904,0.5891,0.44731,0.4383,0.18874,2.35644,2.01632,1.94418,9.93502e-05,9.93502e-05,9.93502e-05
5,67.5751,1.60452,1.87237,1.51201,0.56906,0.50042,0.50461,0.18953,2.5373,1.95012,2.12958,0.000124083,0.000124083,0.000124083
6,80.2377,1.57636,1.71165,1.49398,0.64235,0.49863,0.56575,0.28499,2.10526,1.7745,1.77835,0.000124238,0.000124238,0.000124238
7,92.5581,1.54748,1.51722,1.46343,0.6107,0.68012,0.63449,0.32538,2.10135,1.62534,1.73538,0.000123904,0.000123904,0.000123904
8,104.771,1.51818,1.40416,1.43322,0.71929,0.53349,0.66666,0.33884,2.04962,1.67498,1.71159,0.00012351,0.00012351,0.00012351
9,118.835,1.50864,1.38202,1.42847,0.62454,0.62392,0.62924,0.29711,2.23277,1.8828,1.80856,0.000123056,0.000123056,0.000123056
10,130.238,1.49568,1.31927,1.40966,0.67193,0.6385,0.70264,0.37726,1.9547,1.95201,1.6115,0.000122543,0.000122543,0.000122543
11,142.873,1.4705,1.31975,1.42347,0.55602,0.69446,0.71973,0.36226,2.07927,1.65735,1.68665,0.000121972,0.000121972,0.000121972
12,154.423,1.4327,1.19882,1.3885,0.66478,0.67958,0.68263,0.28931,2.26389,1.70636,1.86688,0.000121342,0.000121342,0.000121342
13,165.803,1.43799,1.18078,1.38103,0.59029,0.72714,0.72569,0.35252,2.0277,1.66233,1.68991,0.000120655,0.000120655,0.000120655
14,177.297,1.42436,1.17439,1.39003,0.64347,0.62963,0.66597,0.37684,1.89097,1.48464,1.59698,0.000119911,0.000119911,0.000119911
15,188.699,1.42746,1.13368,1.37444,0.63789,0.64917,0.71593,0.43325,1.69622,1.43069,1.4606,0.000119111,0.000119111,0.000119111
