epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0397,1.87452,4.59504,1.96983,0.69557,0.24,0.21899,0.08578,2.15939,2.76245,1.8785,4.13075e-05,4.13075e-05,4.13075e-05
2,57.0079,1.63221,2.81407,1.69435,0.57134,0.43729,0.43706,0.22182,1.94811,2.33786,1.74249,8.27491e-05,8.27491e-05,8.27491e-05
3,82.8899,1.63517,2.2226,1.69347,0.68829,0.52136,0.53483,0.18436,2.53117,2.3678,2.21292,0.000123293,0.000123293,0.000123293
4,107.602,1.60449,1.88715,1.68084,0.71905,0.6361,0.6074,0.27938,2.07991,1.80984,1.98104,0.000121972,0.000121972,0.000121972
5,133.305,1.59611,1.67503,1.71089,0.61962,0.61482,0.60539,0.29536,2.12435,1.89676,1.91162,0.000119651,0.000119651,0.000119651
6,159.147,1.57255,1.55729,1.68433,0.54292,0.71402,0.72382,0.35561,2.00486,1.45533,1.82918,0.00011671,0.00011671,0.00011671
7,184.719,1.52798,1.41489,1.65841,0.49764,0.70521,0.65763,0.27566,2.39971,1.72344,2.13978,0.000113183,0.000113183,0.000113183
8,209.318,1.51537,1.39086,1.62713,0.5783,0.71302,0.75986,0.31933,2.35102,1.64614,2.12668,0.000109107,0.000109107,0.000109107
9,234.184,1.51162,1.30747,1.63017,0.5946,0.77548,0.74061,0.43564,1.84525,1.45784,1.7911,0.000104527,0.000104527,0.000104527
10,260.024,1.47561,1.3009,1.62132,0.60256,0.6179,0.68537,0.34684,2.02733,1.68454,1.89127,9.94942e-05,9.94942e-05,9.94942e-05
11,284.764,1.46527,1.20778,1.61183,0.57517,0.65627,0.72944,0.41171,1.80972,1.45553,1.7938,9.40625e-05,9.40625e-05,9.40625e-05
12,309.508,1.48349,1.17322,1.6359,0.59921,0.76101,0.72691,0.39292,2.05535,1.55663,1.95522,8.82918e-05,8.82918e-05,8.82918e-05
13,334.156,1.42367,1.12384,1.60618,0.6,0.81605,0.79484,0.37071,2.12133,1.32639,2.13027,8.22454e-05,8.22454e-05,8.22454e-05
14,359.005,1.43692,1.10011,1.60836,0.64233,0.72774,0.71494,0.38022,2.03063,1.61228,1.93998,7.59895e-05,7.59895e-05,7.59895e-05
15,383.739,1.39556,1.06022,1.5662,0.66404,0.74492,0.71396,0.39231,1.9126,1.50363,1.85968,6.95927e-05,6.95927e-05,6.95927e-05
16,408.392,1.42953,1.03004,1.57088,0.66564,0.71223,0.76912,0.42578,1.99911,1.47661,1.93123,6.3125e-05,6.3125e-05,6.3125e-05
17,433.263,1.4055,0.98765,1.56915,0.61819,0.79652,0.76311,0.47394,1.73837,1.3986,1.72043,5.66573e-05,5.66573e-05,5.66573e-05
18,458.787,1.39021,0.96346,1.55696,0.66055,0.81832,0.76537,0.44444,1.90011,1.39051,1.82312,5.02605e-05,5.02605e-05,5.02605e-05
19,483.469,1.36653,0.96341,1.53748,0.67069,0.71838,0.7601,0.45739,1.74378,1.38649,1.75849,4.40046e-05,4.40046e-05,4.40046e-05
20,508.368,1.35075,0.93139,1.52628,0.71423,0.74279,0.78551,0.44249,1.87331,1.34868,1.84838,3.79582e-05,3.79582e-05,3.79582e-05
21,533.615,1.24886,0.74808,1.54736,0.67294,0.79428,0.79368,0.47009,1.77964,1.25454,1.87359,3.21875e-05,3.21875e-05,3.21875e-05
22,558.118,1.23821,0.70676,1.52739,0.63551,0.82688,0.78947,0.49514,1.68049,1.28052,1.70444,2.67558e-05,2.67558e-05,2.67558e-05
23,583.939,1.24262,0.68827,1.53036,0.68237,0.7602,0.78644,0.47108,1.71497,1.28018,1.77837,2.17225e-05,2.17225e-05,2.17225e-05
24,608.646,1.21846,0.67767,1.53048,0.72858,0.72598,0.78405,0.49704,1.61632,1.21351,1.68545,1.71429e-05,1.71429e-05,1.71429e-05
25,634.257,1.19455,0.63856,1.47625,0.72284,0.74863,0.77944,0.4811,1.64236,1.24126,1.68709,1.30671e-05,1.30671e-05,1.30671e-05
26,658.782,1.18371,0.6399,1.48571,0.72742,0.73484,0.77712,0.50263,1.5856,1.28215,1.64749,9.53968e-06,9.53968e-06,9.53968e-06
