epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8999,2.07974,6.12367,2.16197,0.89259,0.02441,0.02312,0.01228,1.90801,3.48439,1.70331,2.4569e-05,2.4569e-05,2.4569e-05
2,22.5696,1.7257,4.11755,1.71991,0.70995,0.21323,0.20217,0.10542,2.08237,2.98994,1.73676,4.95569e-05,4.95569e-05,4.95569e-05
3,31.6527,1.70913,2.91807,1.68484,0.78029,0.25787,0.30013,0.11505,2.41904,2.11585,2.05661,7.44961e-05,7.44961e-05,7.44961e-05
4,40.8513,1.65674,2.44151,1.63626,0.69347,0.46701,0.50799,0.24441,2.23588,1.9377,1.99169,9.93502e-05,9.93502e-05,9.93502e-05
5,49.87,1.64595,2.16221,1.62808,0.71957,0.50013,0.53681,0.23743,2.3947,1.91065,2.0636,0.000124083,0.000124083,0.000124083
6,58.5479,1.61506,1.9342,1.63377,0.71384,0.56369,0.63358,0.32753,1.98224,1.69311,1.80003,0.000124238,0.000124238,0.000124238
7,67.4607,1.59649,1.70607,1.61426,0.69233,0.58299,0.61426,0.2784,2.3922,1.90791,2.14588,0.000123904,0.000123904,0.000123904
8,76.1041,1.56928,1.56683,1.58079,0.74491,0.55604,0.72212,0.38711,1.99183,1.86067,1.8129,0.00012351,0.00012351,0.00012351
9,85.1427,1.57278,1.52934,1.57682,0.7439,0.54548,0.6635,0.29967,2.24613,1.61556,1.96557,0.000123056,0.000123056,0.000123056
10,93.7773,1.55455,1.45151,1.56302,0.62831,0.73862,0.73603,0.34997,2.07897,1.74062,1.855,0.000122543,0.000122543,0.000122543
11,102.684,1.53618,1.3999,1.58067,0.64467,0.6889,0.71732,0.33026,2.17282,1.55324,1.91929,0.000121972,0.000121972,0.000121972
12,111.43,1.51692,1.3341,1.55841,0.6941,0.68346,0.75117,0.37991,2.17063,1.61949,1.87672,0.000121342,0.000121342,0.000121342
13,120.045,1.49657,1.30994,1.53839,0.67912,0.68832,0.76909,0.39429,2.02816,1.61787,1.88021,0.000120655,0.000120655,0.000120655
14,129.128,1.48716,1.2648,1.53833,0.66452,0.61671,0.72651,0.37396,2.09103,1.49929,1.87845,0.000119911,0.000119911,0.000119911
15,138.5,1.48885,1.21101,1.52083,0.68948,0.57833,0.69438,0.34348,2.04707,1.60281,1.86825,0.000119111,0.000119111,0.000119111
16,147.177,1.50007,1.26208,1.52584,0.57991,0.72309,0.74565,0.41185,2.02291,1.50396,1.8142,0.000118256,0.000118256,0.000118256
17,156.095,1.46264,1.17455,1.5016,0.61034,0.70649,0.69877,0.4134,1.88497,1.48646,1.76901,0.000117346,0.000117346,0.000117346
18,164.738,1.46225,1.17106,1.50568,0.58592,0.68947,0.72102,0.37317,2.09335,1.52224,1.86009,0.000116383,0.000116383,0.000116383
19,174.343,1.46581,1.13564,1.52507,0.69514,0.63797,0.74914,0.38901,2.07599,1.48425,1.89543,0.000115368,0.000115368,0.000115368
20,183.041,1.4333,1.12429,1.49007,0.6766,0.69469,0.74146,0.43229,1.91465,1.39836,1.73341,0.000114301,0.000114301,0.000114301
