epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1648,1.90682,4.61765,2.02195,0.72414,0.18288,0.17681,0.08295,2.09705,2.97387,1.84045,2.47845e-05,2.47845e-05,2.47845e-05
2,85.3436,1.66198,2.75201,1.73619,0.72475,0.29294,0.41966,0.16721,2.57578,2.31512,2.36656,4.97791e-05,4.97791e-05,4.97791e-05
3,130.462,1.64049,2.07475,1.72544,0.62276,0.5286,0.56649,0.23417,2.28087,1.93663,2.14521,7.4752e-05,7.4752e-05,7.4752e-05
4,172.517,1.62103,1.82077,1.7228,0.65947,0.57524,0.66215,0.2905,2.30062,1.89592,2.09875,9.9687e-05,9.9687e-05,9.9687e-05
5,214.588,1.62253,1.77231,1.70658,0.65357,0.62274,0.65584,0.26981,2.347,2.11835,2.14111,0.000124568,0.000124568,0.000124568
6,254.1,1.58616,1.65967,1.71952,0.52422,0.72788,0.72819,0.34311,2.3244,2.02128,2.08047,0.000124661,0.000124661,0.000124661
7,296.039,1.6009,1.53346,1.70864,0.60778,0.68412,0.6908,0.28248,2.53211,1.87698,2.27762,0.000124512,0.000124512,0.000124512
8,335.421,1.60645,1.47281,1.7236,0.55868,0.57617,0.62654,0.23925,2.61781,2.05234,2.40721,0.000124336,0.000124336,0.000124336
9,374.902,1.56669,1.4775,1.68651,0.59619,0.74646,0.73983,0.34167,2.15683,1.70498,2.00384,0.000124134,0.000124134,0.000124134
10,414.564,1.54095,1.39345,1.67712,0.54151,0.72563,0.72265,0.33757,2.36795,1.75999,2.11244,0.000123904,0.000123904,0.000123904
11,453.951,1.54465,1.37063,1.68241,0.55483,0.75001,0.73383,0.35404,2.11989,1.65133,1.97286,0.000123648,0.000123648,0.000123648
12,495.65,1.51463,1.31752,1.67644,0.53648,0.75507,0.75323,0.41962,1.89255,1.71574,1.86788,0.000123365,0.000123365,0.000123365
13,537.432,1.51186,1.21451,1.69746,0.59849,0.75388,0.74771,0.35361,2.20381,1.70542,2.09889,0.000123056,0.000123056,0.000123056
14,576.857,1.51983,1.27073,1.68067,0.63503,0.72318,0.76484,0.42846,1.91202,1.67131,1.89719,0.000122721,0.000122721,0.000122721
15,618.78,1.477,1.22015,1.64759,0.59394,0.73533,0.75956,0.41356,1.98581,1.64282,1.90714,0.000122359,0.000122359,0.000122359
16,658.175,1.49512,1.18359,1.64509,0.69221,0.62363,0.77429,0.41694,1.96306,1.61531,1.8873,0.000121972,0.000121972,0.000121972
17,697.536,1.47575,1.15107,1.64111,0.54237,0.7707,0.7498,0.37124,2.19183,1.67242,2.00098,0.000121558,0.000121558,0.000121558
18,737.184,1.45775,1.18175,1.6127,0.58652,0.72034,0.70095,0.35746,2.07157,1.43275,1.93189,0.000121119,0.000121119,0.000121119
19,776.928,1.44682,1.11101,1.61449,0.54368,0.77992,0.73804,0.39686,1.95117,1.8118,1.84775,0.000120655,0.000120655,0.000120655
20,816.478,1.47973,1.13501,1.6376,0.52435,0.78755,0.74521,0.40845,1.8364,1.60366,1.80437,0.000120165,0.000120165,0.000120165
21,855.894,1.43457,1.06968,1.62308,0.58472,0.80989,0.76691,0.4158,1.94447,1.42199,1.95551,0.000119651,0.000119651,0.000119651
22,895.253,1.45311,1.05912,1.62007,0.60014,0.72496,0.77337,0.40748,1.99679,1.67233,1.90886,0.000119111,0.000119111,0.000119111
23,934.659,1.45554,1.06514,1.63671,0.67892,0.70825,0.7522,0.39363,2.06163,1.33501,1.93715,0.000118547,0.000118547,0.000118547
24,974.137,1.40639,1.0425,1.59203,0.61391,0.73259,0.78748,0.35337,2.18468,1.47574,1.98591,0.000117959,0.000117959,0.000117959
25,1013.57,1.41768,1.00782,1.59771,0.57494,0.7627,0.75325,0.42165,1.89981,1.50237,1.78853,0.000117346,0.000117346,0.000117346
26,1053.19,1.44111,1.02588,1.6146,0.62828,0.74338,0.76526,0.44355,1.73559,1.56708,1.66903,0.00011671,0.00011671,0.00011671
27,1095.01,1.39246,1.00904,1.58736,0.69948,0.75371,0.77636,0.48081,1.72337,1.41295,1.80738,0.000116051,0.000116051,0.000116051
28,1137.53,1.39985,1.00351,1.60005,0.7133,0.69819,0.75757,0.40125,1.97595,1.57847,1.90229,0.000115368,0.000115368,0.000115368
29,1176.95,1.38245,0.96816,1.55404,0.61038,0.73571,0.7556,0.37419,2.062,1.51121,1.94015,0.000114662,0.000114662,0.000114662
30,1216.62,1.40527,1.02208,1.57275,0.61405,0.80441,0.77444,0.41604,1.97226,1.37136,1.90787,0.000113934,0.000113934,0.000113934
31,1256.06,1.37132,0.95791,1.55769,0.67423,0.76826,0.77923,0.38379,2.03712,1.52494,1.87695,0.000113183,0.000113183,0.000113183
32,1295.46,1.40687,0.97371,1.57129,0.67228,0.7163,0.74512,0.34857,2.02387,1.64434,1.92521,0.00011241,0.00011241,0.00011241
33,1334.89,1.37163,0.94724,1.55763,0.61283,0.79094,0.78305,0.42818,1.86402,1.43297,1.78693,0.000111616,0.000111616,0.000111616
34,1374.57,1.39631,0.95727,1.59066,0.76314,0.68187,0.76911,0.41767,1.91428,1.41608,1.88208,0.000110801,0.000110801,0.000110801
35,1414.11,1.38707,0.9579,1.58281,0.63145,0.82431,0.79623,0.41931,2.00039,1.55431,2.01298,0.000109964,0.000109964,0.000109964
36,1453.66,1.38544,0.94748,1.58463,0.684,0.76754,0.77109,0.34545,2.1961,1.55555,2.08671,0.000109107,0.000109107,0.000109107
37,1493.35,1.36992,0.89824,1.55639,0.65169,0.69614,0.74291,0.44176,1.72133,1.45503,1.75196,0.00010823,0.00010823,0.00010823
38,1534.15,1.34891,0.88083,1.55377,0.73493,0.62055,0.75295,0.46253,1.73239,1.68533,1.70633,0.000107333,0.000107333,0.000107333
39,1573.51,1.3428,0.87695,1.5315,0.67339,0.78353,0.76756,0.39108,1.9295,1.42651,1.79282,0.000106417,0.000106417,0.000106417
40,1612.95,1.35354,0.9121,1.53197,0.62364,0.78698,0.75371,0.43774,1.74519,1.33931,1.69145,0.000105481,0.000105481,0.000105481
41,1652.66,1.3499,0.90037,1.54833,0.58751,0.75828,0.72474,0.33419,2.16653,1.44236,1.94274,0.000104527,0.000104527,0.000104527
42,1692.26,1.34031,0.85689,1.52392,0.61702,0.75062,0.78009,0.43489,1.76315,1.49672,1.74994,0.000103555,0.000103555,0.000103555
43,1731.6,1.3341,0.8657,1.53389,0.63473,0.65098,0.72998,0.41774,1.83031,1.5069,1.79147,0.000102566,0.000102566,0.000102566
44,1771.12,1.34815,0.88024,1.55823,0.63326,0.74041,0.772,0.38309,2.03705,1.54267,1.98122,0.000101559,0.000101559,0.000101559
45,1810.51,1.34464,0.87615,1.55105,0.72575,0.66747,0.78835,0.44718,1.91763,1.38358,1.96227,0.000100535,0.000100535,0.000100535
46,1850.16,1.33151,0.83068,1.53283,0.62373,0.81858,0.80174,0.44477,1.86394,1.21565,1.91394,9.94942e-05,9.94942e-05,9.94942e-05
47,1889.75,1.30885,0.87598,1.52832,0.6927,0.75896,0.7812,0.41043,1.94527,1.36556,1.84099,9.84379e-05,9.84379e-05,9.84379e-05
48,1929.29,1.31843,0.86689,1.5135,0.61368,0.81221,0.78178,0.47998,1.71153,1.32836,1.69261,9.73661e-05,9.73661e-05,9.73661e-05
49,1969.65,1.32536,0.8244,1.51633,0.66464,0.67515,0.76124,0.38736,2.07064,1.40048,1.90454,9.62793e-05,9.62793e-05,9.62793e-05
50,2009.31,1.31527,0.8715,1.52975,0.52974,0.76749,0.76176,0.41873,1.9849,1.36016,1.88738,9.51779e-05,9.51779e-05,9.51779e-05
51,2049.1,1.31326,0.84832,1.4979,0.6464,0.80028,0.76248,0.41583,2.02528,1.45482,1.87273,9.40625e-05,9.40625e-05,9.40625e-05
52,2088.66,1.30354,0.8278,1.50111,0.58076,0.80857,0.76716,0.40125,2.10711,1.53206,1.93417,9.29335e-05,9.29335e-05,9.29335e-05
53,2128.15,1.31199,0.81337,1.49503,0.67121,0.70271,0.73924,0.40828,1.97472,1.30695,1.9108,9.17914e-05,9.17914e-05,9.17914e-05
54,2167.69,1.29059,0.79411,1.48764,0.58527,0.8102,0.76584,0.41997,1.99809,1.42799,1.90526,9.06368e-05,9.06368e-05,9.06368e-05
55,2207.03,1.28469,0.79937,1.50932,0.6906,0.69376,0.75643,0.44296,1.78186,1.37575,1.83628,8.94701e-05,8.94701e-05,8.94701e-05
56,2246.61,1.29396,0.80281,1.50783,0.57952,0.76319,0.78249,0.40534,2.01959,1.33703,2.00853,8.82918e-05,8.82918e-05,8.82918e-05
57,2286.17,1.27382,0.82437,1.49639,0.62367,0.73424,0.75073,0.42245,2.01358,1.34785,1.93898,8.71025e-05,8.71025e-05,8.71025e-05
